feature_index,name,operator,record_source,longitude,latitude,coordinate_is_approximate,coordinate_quality,matched_area,coordinate_method,coordinate_confidence,estimated_accuracy_m,coordinate_warning,original_geometry_status,source_url
13,NARAINA IND AREA,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.141,28.626,True,approximate_area_centroid,naraina industrial area,fuzzy_locality_centroid,low,2200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
14,"ADITYA MEGA MALL, CBD",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.302,28.655,True,approximate_area_centroid,aditya mega mall,interpreted_locality_centroid,medium,1500,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
15,KAKROLA MODE,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.033,28.619,True,approximate_area_centroid,kakrola,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
16,OKHLA,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.278,28.548,True,approximate_area_centroid,okhla,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
17,EAST OF KAILASH,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.253,28.558,True,approximate_area_centroid,east of kailash,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
18,GOVIND PURI,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.263,28.541,True,approximate_area_centroid,govindpuri,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
19,R K PURAM,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.177,28.566,True,approximate_area_centroid,rk puram,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
20,ROHINI SECTOR-9,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.126,28.711,True,approximate_area_centroid,rohini sector 9,sector_centroid,medium,800,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
21,AZADPUR,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.175,28.706,True,approximate_area_centroid,azadpur,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
22,ZAMRUDPUR,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.239,28.548,True,approximate_area_centroid,zamrudpur,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
23,JASOLA DLF TOWER,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.283,28.538,True,approximate_area_centroid,jasola,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
24,D B G MARKET,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.198,28.649,True,approximate_area_centroid,dbg market,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
25,NAWADA,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.045,28.62,True,approximate_area_centroid,nawada,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
26,T K D EXTN.,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.263,28.511,True,approximate_area_centroid,tughlakabad extension,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
27,MANGOL PURI,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.087,28.696,True,approximate_area_centroid,mangolpuri,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
28,JAHANGIR PURI,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.162,28.725,True,approximate_area_centroid,jahangirpuri,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
29,ROHINI SECTOR-11,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.116,28.724,True,approximate_area_centroid,rohini sector 11,sector_centroid,medium,800,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
30,SOUTH GAMRI BLOCK A,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.266,28.7,True,approximate_area_centroid,south gamri,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
31,BADARPUR,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.303,28.493,True,approximate_area_centroid,badarpur,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
32,MAJNU KA TILA,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.228,28.702,True,approximate_area_centroid,majnu ka tila,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
33,"AZADPUR, GUPTA CORNER",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.175,28.706,True,approximate_area_centroid,azadpur,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
34,NEW USMANPUR,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.258,28.684,True,approximate_area_centroid,new usmanpur,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
35,NANGAL RAI,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.11,28.609,True,approximate_area_centroid,nangal rai,interpreted_locality_centroid,medium,1500,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
36,MUNIRKA,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.174,28.554,True,approximate_area_centroid,munirka,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
37,SHORA KOTHI,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.21,28.646,True,approximate_area_centroid,shora kothi,named_parent_area_centroid,low,3000,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
38,MALKAGANJ,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.207,28.676,True,approximate_area_centroid,malkaganj,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
39,ROHINI SECTOR-16,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.119,28.731,True,approximate_area_centroid,rohini sector 16,sector_centroid,medium,800,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
40,PACIFIC MALL KP BLOCK,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.112,28.643,True,approximate_area_centroid,pacific mall tagore garden,interpreted_locality_centroid,medium,1500,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
41,MANDAWALI,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.305,28.627,True,approximate_area_centroid,mandawali,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
42,ROHINI SECTOR-8,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.126,28.706,True,approximate_area_centroid,rohini sector 8,sector_centroid,medium,800,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
43,ROHINI SECTOR-4,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.116,28.711,True,approximate_area_centroid,rohini sector 4,sector_centroid,medium,800,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
44,"BAWANA, SEC-3",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.034,28.799,True,approximate_area_centroid,bawana sector 3,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
45,GREATER KAILASH -I,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.237,28.551,True,approximate_area_centroid,greater kailash 1,fuzzy_locality_centroid,low,2200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
46,"KALKAJI, KRISHNA MKT",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.255,28.535,True,approximate_area_centroid,kalkaji,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
47,KRISHNA NAGAR A4/17,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.279,28.656,True,approximate_area_centroid,krishna nagar,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
48,SEEMA PURI,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.329,28.685,True,approximate_area_centroid,seemapuri,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
49,DWARKA SEC 19,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.043,28.578,True,approximate_area_centroid,dwarka sector 19,sector_centroid,medium,900,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
50,SHAHZADABAGH,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.163,28.672,True,approximate_area_centroid,shahzada bagh,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
51,VISHWAS NAGAR,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.287,28.664,True,approximate_area_centroid,vishwas nagar,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
52,TRILOK PURI,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.311,28.613,True,approximate_area_centroid,trilokpuri,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
53,DILSHAD GARDEN B-BLK,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.321,28.681,True,approximate_area_centroid,dilshad garden,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
54,AVANTIKA,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.116,28.708,True,approximate_area_centroid,avantika,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
55,DILSHAD GARDEN C-BLOCK,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.321,28.681,True,approximate_area_centroid,dilshad garden,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
56,ROHINI EXTN SECTOR-4,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.116,28.711,True,approximate_area_centroid,rohini sector 4,sector_centroid,medium,800,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
57,NAND NAGRI,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.308,28.691,True,approximate_area_centroid,nand nagri,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
58,GREEN PARK,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.202,28.558,True,approximate_area_centroid,green park,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
59,KARAMPURA,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.145,28.675,True,approximate_area_centroid,karampura,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
60,LAJWANTI GARDEN,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.096,28.613,True,approximate_area_centroid,lajwanti garden,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
61,KALKAJI B34,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.25281,28.54275,False,exact_mapped_point,"B-34, New Delhi 110019",existing_osm_point,high,30,,matched to precise OpenStreetMap point,https://dscsc.delhi.gov.in/dscsc/liquor-vends
62,LAWRANCE ROAD,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.16,28.681,True,approximate_area_centroid,lawrence road,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
63,KHICHRI PUR,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.318,28.62,True,approximate_area_centroid,khichripur,fuzzy_locality_centroid,low,2200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
64,G. B. ROAD,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.224,28.652,True,approximate_area_centroid,shradhanand marg gb road,interpreted_locality_centroid,medium,1500,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
65,"RAJ NAGAR-1, PALAM",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.089,28.591,True,approximate_area_centroid,raj nagar palam,fuzzy_locality_centroid,low,2200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
66,EAST OF KAILASH 37,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.253,28.558,True,approximate_area_centroid,east of kailash,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
67,SINDHORA KALAN,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.175,28.681,True,approximate_area_centroid,sindhora kalan,named_parent_area_centroid,low,3000,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
68,YUSUF SARAI MARKET,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.207,28.566,True,approximate_area_centroid,yusuf sarai,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
69,SOUTH EXTN PART-1,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.22,28.571,True,approximate_area_centroid,south extension 1,fuzzy_locality_centroid,low,2200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
70,NARSINGH GARDEN,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.095,28.651,True,approximate_area_centroid,narsingh garden,named_parent_area_centroid,low,3000,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
71,"SOUTH GAMRI, BHAJAN PURA",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.266,28.7,True,approximate_area_centroid,south gamri,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
72,ASHOK NAGAR D517,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.101,28.637,True,approximate_area_centroid,ashok nagar,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
73,NATHU COLONY 48,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.294,28.688,True,approximate_area_centroid,nathu colony,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
74,CHANDER LOK 711,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.143,28.688,True,approximate_area_centroid,chander lok,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
75,"MOHAN SINGH MARKET, INA 21",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.209,28.574,True,approximate_area_centroid,ina market,interpreted_locality_centroid,medium,1500,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
76,"JANAKPURI, B BLOCK",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.083,28.621,True,approximate_area_centroid,janakpuri,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
77,MANGOLPURI X1 X2,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.087,28.696,True,approximate_area_centroid,mangolpuri,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
78,MIRAJ CINEMA19,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.104,28.64,True,approximate_area_centroid,miraj cinema,interpreted_parent_area_centroid,low,3000,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
79,CHAUKHANDI ROAD,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.075,28.644,True,approximate_area_centroid,chaukhandi road,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
80,BALI NAGAR,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.128,28.654,True,approximate_area_centroid,bali nagar,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
81,"KARTAR NAGAR, SHAHDARA",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.27,28.689,True,approximate_area_centroid,kartar nagar,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
82,"LONI ROAD, SHAHDARA",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.298,28.684,True,approximate_area_centroid,loni road shahdara,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
83,MOHAN SINGH MARKET 169,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.209,28.574,True,approximate_area_centroid,ina market,interpreted_locality_centroid,medium,1500,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
84,ROSHANARA ROAD,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.192,28.673,True,approximate_area_centroid,roshanara road,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
85,"RBI COLONY,HAUZ KHAS",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.201,28.55,True,approximate_area_centroid,hauz khas,interpreted_locality_centroid,medium,1500,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
86,GEETA COLONY,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.274,28.651,True,approximate_area_centroid,geeta colony,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
87,SHANKAR GARDEN,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.111,28.646,True,approximate_area_centroid,shankar garden,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
88,"BAKKARWALA, LOK NAYAK PURAM",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.036,28.645,True,approximate_area_centroid,lok nayak puram,interpreted_locality_centroid,medium,1500,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
89,GURU NANAK PURA A65,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.281,28.636,True,approximate_area_centroid,guru nanak pura,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
90,WEST END MALL 38,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.081,28.629,True,approximate_area_centroid,west end mall,interpreted_locality_centroid,medium,1500,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
91,WAZIRPUR,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.167,28.699,True,approximate_area_centroid,wazirpur,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
92,EAST PUNJABI BAGH,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.132,28.668,True,approximate_area_centroid,punjabi bagh,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
93,"GOVIND PURI, 24",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.263,28.541,True,approximate_area_centroid,govindpuri,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
94,"METROPLEX EAST MALL, LAXMI NAGAR",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.278,28.63,True,approximate_area_centroid,laxmi nagar,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
95,"GOPAL HEIGHTS, NSP",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.152,28.696,True,approximate_area_centroid,netaji subhash place,interpreted_locality_centroid,medium,1500,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
